iter	Passed	Remaining
0	67	67297
1	67	33928
2	68	22777
3	69	17193
4	69	13844
5	70	11606
6	70	10010
7	71	8812
8	71	7887
9	72	7138
10	72	6524
11	73	6013
12	73	5580
13	73	5211
14	74	4889
15	74	4607
16	75	4358
17	75	4136
18	76	3938
19	76	3761
20	77	3602
21	77	3461
22	78	3328
23	78	3205
24	79	3092
25	79	2987
26	80	2890
27	80	2800
28	81	2717
29	81	2639
30	82	2565
31	82	2497
32	83	2433
33	83	2374
34	84	2317
35	84	2264
36	85	2213
37	85	2165
38	86	2120
39	86	2077
40	87	2038
41	87	1998
42	88	1960
43	88	1924
44	89	1890
45	89	1857
46	90	1826
47	90	1795
48	91	1766
49	91	1741
50	92	1716
51	92	1693
52	93	1668
53	93	1644
54	94	1621
55	94	1600
56	95	1580
57	96	1559
58	96	1539
59	96	1519
60	97	1500
61	98	1483
62	98	1465
63	99	1449
64	99	1433
65	100	1416
66	100	1400
67	101	1385
68	101	1370
69	102	1356
70	102	1341
71	103	1327
72	103	1314
73	104	1301
74	104	1289
75	105	1276
76	105	1264
77	106	1253
78	106	1241
79	106	1230
80	107	1219
81	108	1209
82	108	1196
83	108	1185
84	109	1176
85	109	1166
86	110	1157
87	110	1148
88	111	1139
89	111	1130
90	112	1121
91	112	1112
92	113	1104
93	113	1096
94	114	1088
95	114	1080
96	115	1072
97	115	1064
98	116	1056
99	116	1049
100	117	1043
101	117	1036
102	118	1029
103	118	1023
104	119	1016
105	119	1010
106	120	1004
107	120	998
108	121	991
109	121	985
110	122	979
111	122	973
112	123	969
113	124	963
114	124	959
115	125	953
116	125	948
117	126	943
118	126	938
119	127	933
120	127	927
121	128	922
122	128	918
123	129	913
124	129	909
125	130	905
126	130	899
127	131	895
128	131	890
129	132	886
130	133	882
131	133	877
132	133	873
133	134	868
134	134	864
135	135	860
136	136	856
137	136	852
138	137	848
139	137	844
140	138	841
141	138	836
142	138	832
143	139	829
144	139	825
145	140	821
146	140	817
147	141	814
148	141	810
149	142	807
150	143	804
151	143	801
152	144	797
153	144	794
154	145	792
155	145	789
156	146	786
157	147	783
158	147	780
159	148	777
160	148	773
161	149	773
162	150	770
163	150	767
164	151	764
165	151	761
166	152	758
167	152	755
168	153	752
169	153	749
170	154	746
171	154	743
172	155	741
173	155	738
174	156	735
175	156	732
176	157	730
177	157	727
178	157	724
179	158	721
180	158	719
181	159	716
182	159	713
183	160	711
184	160	709
185	161	706
186	161	704
187	162	701
188	163	700
189	163	698
190	164	696
191	165	694
192	165	692
193	166	690
194	166	688
195	167	686
196	168	684
197	168	682
198	169	680
199	169	678
200	170	676
201	170	674
202	171	672
203	171	669
204	172	667
205	172	665
206	173	664
207	173	662
208	174	660
209	174	658
210	175	656
211	176	654
212	176	652
213	177	650
214	177	648
215	178	646
216	178	644
217	179	642
218	179	640
219	180	638
220	180	637
221	181	635
222	181	633
223	182	632
224	183	630
225	183	628
226	184	626
227	184	624
228	185	623
